"UID","FIPS","County","State","Lat","Long","Population","Date","Cases","Deaths","Cases_100k","Cases_Capita","Deaths_100k","Deaths_Capita"
84048495,48495,"Winkler","Texas",31.85008651,-103.0485163,8010,2020-01-22,0,0,0,Inf,0,Inf
84048497,48497,"Wise","Texas",33.21570665,-97.65460265,69984,2020-01-22,0,0,0,Inf,0,Inf
84048499,48499,"Wood","Texas",32.78722382,-95.38236368,45539,2020-01-22,0,0,0,Inf,0,Inf
84048501,48501,"Yoakum","Texas",33.17320212,-102.8276433,8713,2020-01-22,0,0,0,Inf,0,Inf
84048503,48503,"Young","Texas",33.17659707,-98.68790885,18010,2020-01-22,0,0,0,Inf,0,Inf
84048505,48505,"Zapata","Texas",27.00156391,-99.16987152,14179,2020-01-22,0,0,0,Inf,0,Inf
84048507,48507,"Zavala","Texas",28.86617238,-99.76050829,11840,2020-01-22,0,0,0,Inf,0,Inf
84080048,80048,"Out of TX","Texas",0,0,0,2020-01-22,0,0,NA,NA,NA,NA
84090048,90048,"Unassigned","Texas",0,0,0,2020-01-22,0,0,NA,NA,NA,NA
84048001,48001,"Anderson","Texas",31.81534745,-95.65354823,57735,2020-01-23,0,0,0,Inf,0,Inf
84048003,48003,"Andrews","Texas",32.30468633,-102.6376548,18705,2020-01-23,0,0,0,Inf,0,Inf
84048005,48005,"Angelina","Texas",31.25457347,-94.60901487,86715,2020-01-23,0,0,0,Inf,0,Inf
84048007,48007,"Aransas","Texas",28.10556197,-96.9995047,23510,2020-01-23,0,0,0,Inf,0,Inf
84048009,48009,"Archer","Texas",33.61569967,-98.68754589,8553,2020-01-23,0,0,0,Inf,0,Inf
84048011,48011,"Armstrong","Texas",34.96507426,-101.3574874,1887,2020-01-23,0,0,0,Inf,0,Inf
84048013,48013,"Atascosa","Texas",28.89333001,-98.52730485,51153,2020-01-23,0,0,0,Inf,0,Inf
84048015,48015,"Austin","Texas",29.88548725,-96.27736949,30032,2020-01-23,0,0,0,Inf,0,Inf
84048017,48017,"Bailey","Texas",34.06854817,-102.8299707,7000,2020-01-23,0,0,0,Inf,0,Inf
84048019,48019,"Bandera","Texas",29.74619598,-99.24598147,23112,2020-01-23,0,0,0,Inf,0,Inf
84048021,48021,"Bastrop","Texas",30.10370699,-97.31206354,88723,2020-01-23,0,0,0,Inf,0,Inf
84048023,48023,"Baylor","Texas",33.61640794,-99.21352901,3509,2020-01-23,0,0,0,Inf,0,Inf
84048025,48025,"Bee","Texas",28.41761668,-97.74215593,32565,2020-01-23,0,0,0,Inf,0,Inf
84048027,48027,"Bell","Texas",31.03736027,-97.4785025,362924,2020-01-23,0,0,0,Inf,0,Inf
84048029,48029,"Bexar","Texas",29.44928723,-98.52019748,2003554,2020-01-23,0,0,0,Inf,0,Inf
84048031,48031,"Blanco","Texas",30.26640707,-98.3999852,11931,2020-01-23,0,0,0,Inf,0,Inf
84048033,48033,"Borden","Texas",32.74363984,-101.4316509,654,2020-01-23,0,0,0,Inf,0,Inf
84048035,48035,"Bosque","Texas",31.89978581,-97.63613524,18685,2020-01-23,0,0,0,Inf,0,Inf
84048037,48037,"Bowie","Texas",33.44626922,-94.41834132,93245,2020-01-23,0,0,0,Inf,0,Inf
84048039,48039,"Brazoria","Texas",29.18757369,-95.44563172,374264,2020-01-23,0,0,0,Inf,0,Inf
84048041,48041,"Brazos","Texas",30.6636448,-96.30205577,229211,2020-01-23,0,0,0,Inf,0,Inf
84048043,48043,"Brewster","Texas",29.81008251,-103.2520326,9203,2020-01-23,0,0,0,Inf,0,Inf
84048045,48045,"Briscoe","Texas",34.53026962,-101.2084947,1546,2020-01-23,0,0,0,Inf,0,Inf
84048047,48047,"Brooks","Texas",27.03103197,-98.21808402,7093,2020-01-23,0,0,0,Inf,0,Inf
84048049,48049,"Brown","Texas",31.77430356,-98.99907113,37864,2020-01-23,0,0,0,Inf,0,Inf
84048051,48051,"Burleson","Texas",30.49273808,-96.62158484,18443,2020-01-23,0,0,0,Inf,0,Inf
84048053,48053,"Burnet","Texas",30.78801353,-98.181887,48155,2020-01-23,0,0,0,Inf,0,Inf
84048055,48055,"Caldwell","Texas",29.83668859,-97.61814775,43664,2020-01-23,0,0,0,Inf,0,Inf
84048057,48057,"Calhoun","Texas",28.47048236,-96.61633945,21290,2020-01-23,0,0,0,Inf,0,Inf
84048059,48059,"Callahan","Texas",32.29760619,-99.37326312,13943,2020-01-23,0,0,0,Inf,0,Inf
84048061,48061,"Cameron","Texas",26.14524221,-97.48140372,423163,2020-01-23,0,0,0,Inf,0,Inf
84048063,48063,"Camp","Texas",32.97195142,-94.97790104,13094,2020-01-23,0,0,0,Inf,0,Inf
84048065,48065,"Carson","Texas",35.40365929,-101.3542669,5926,2020-01-23,0,0,0,Inf,0,Inf
84048067,48067,"Cass","Texas",33.07499881,-94.34646905,30026,2020-01-23,0,0,0,Inf,0,Inf
84048069,48069,"Castro","Texas",34.53016752,-102.2617243,7530,2020-01-23,0,0,0,Inf,0,Inf
84048071,48071,"Chambers","Texas",29.70972016,-94.67154501,43837,2020-01-23,0,0,0,Inf,0,Inf
84048073,48073,"Cherokee","Texas",31.837258,-95.16559897,52646,2020-01-23,0,0,0,Inf,0,Inf
84048075,48075,"Childress","Texas",34.5293041,-100.2077916,7306,2020-01-23,0,0,0,Inf,0,Inf
84048077,48077,"Clay","Texas",33.78686685,-98.20771198,10471,2020-01-23,0,0,0,Inf,0,Inf
84048079,48079,"Cochran","Texas",33.60425307,-102.8284499,2853,2020-01-23,0,0,0,Inf,0,Inf
84048081,48081,"Coke","Texas",31.88911733,-100.5297533,3387,2020-01-23,0,0,0,Inf,0,Inf
84048083,48083,"Coleman","Texas",31.76736834,-99.45240766,8175,2020-01-23,0,0,0,Inf,0,Inf
84048085,48085,"Collin","Texas",33.18820114,-96.57264368,1034730,2020-01-23,0,0,0,Inf,0,Inf
84048087,48087,"Collingsworth","Texas",34.96489496,-100.2700111,2920,2020-01-23,0,0,0,Inf,0,Inf
84048089,48089,"Colorado","Texas",29.622098,-96.5273805,21493,2020-01-23,0,0,0,Inf,0,Inf
84048091,48091,"Comal","Texas",29.80811278,-98.27647225,156209,2020-01-23,0,0,0,Inf,0,Inf
84048093,48093,"Comanche","Texas",31.94854689,-98.55876441,13635,2020-01-23,0,0,0,Inf,0,Inf
84048095,48095,"Concho","Texas",31.32635934,-99.86473038,2726,2020-01-23,0,0,0,Inf,0,Inf
84048097,48097,"Cooke","Texas",33.63979567,-97.21240912,41257,2020-01-23,0,0,0,Inf,0,Inf
84048099,48099,"Coryell","Texas",31.39078397,-97.79936155,75951,2020-01-23,0,0,0,Inf,0,Inf
84048101,48101,"Cottle","Texas",34.07783319,-100.2785062,1398,2020-01-23,0,0,0,Inf,0,Inf
84048103,48103,"Crane","Texas",31.43052248,-102.5143314,4797,2020-01-23,0,0,0,Inf,0,Inf
84048105,48105,"Crockett","Texas",30.72367027,-101.4134238,3464,2020-01-23,0,0,0,Inf,0,Inf
84048107,48107,"Crosby","Texas",33.61431553,-101.3000364,5737,2020-01-23,0,0,0,Inf,0,Inf
84048109,48109,"Culberson","Texas",31.44506775,-104.5185739,2171,2020-01-23,0,0,0,Inf,0,Inf
84048111,48111,"Dallam","Texas",36.27787176,-102.6020725,7287,2020-01-23,0,0,0,Inf,0,Inf
84048113,48113,"Dallas","Texas",32.76670599,-96.7779605,2635516,2020-01-23,0,0,0,Inf,0,Inf
84048115,48115,"Dawson","Texas",32.74255572,-101.9477242,12728,2020-01-23,0,0,0,Inf,0,Inf
84048117,48117,"Deaf Smith","Texas",34.96522957,-102.6054267,18546,2020-01-23,0,0,0,Inf,0,Inf
84048119,48119,"Delta","Texas",33.38570922,-95.66921122,5331,2020-01-23,0,0,0,Inf,0,Inf
84048121,48121,"Denton","Texas",33.20521901,-97.11691153,887207,2020-01-23,0,0,0,Inf,0,Inf
84048123,48123,"DeWitt","Texas",29.08101855,-97.3568117,20160,2020-01-23,0,0,0,Inf,0,Inf
84048125,48125,"Dickens","Texas",33.61616822,-100.7788855,2211,2020-01-23,0,0,0,Inf,0,Inf
84048127,48127,"Dimmit","Texas",28.42270064,-99.75645095,10124,2020-01-23,0,0,0,Inf,0,Inf
84048129,48129,"Donley","Texas",34.96517499,-100.8140093,3278,2020-01-23,0,0,0,Inf,0,Inf
84048131,48131,"Duval","Texas",27.68184592,-98.50864568,11157,2020-01-23,0,0,0,Inf,0,Inf
84048133,48133,"Eastland","Texas",32.32743996,-98.83243566,18360,2020-01-23,0,0,0,Inf,0,Inf
84048135,48135,"Ector","Texas",31.86898877,-102.5429428,166223,2020-01-23,0,0,0,Inf,0,Inf
84048137,48137,"Edwards","Texas",29.98202582,-100.304252,1932,2020-01-23,0,0,0,Inf,0,Inf
84048139,48139,"Ellis","Texas",32.34894117,-96.79371841,184826,2020-01-23,0,0,0,Inf,0,Inf
84048141,48141,"El Paso","Texas",31.76980765,-106.2363275,839238,2020-01-23,0,0,0,Inf,0,Inf
84048143,48143,"Erath","Texas",32.23602653,-98.21773417,42698,2020-01-23,0,0,0,Inf,0,Inf
84048145,48145,"Falls","Texas",31.25350609,-96.93630086,17297,2020-01-23,0,0,0,Inf,0,Inf
84048147,48147,"Fannin","Texas",33.59564294,-96.10751083,35514,2020-01-23,0,0,0,Inf,0,Inf
84048149,48149,"Fayette","Texas",29.87788372,-96.92076062,25346,2020-01-23,0,0,0,Inf,0,Inf
84048151,48151,"Fisher","Texas",32.74281316,-100.4019302,3830,2020-01-23,0,0,0,Inf,0,Inf
84048153,48153,"Floyd","Texas",34.07227468,-101.3031546,5712,2020-01-23,0,0,0,Inf,0,Inf
84048155,48155,"Foard","Texas",33.97308618,-99.7767797,1155,2020-01-23,0,0,0,Inf,0,Inf
84048157,48157,"Fort Bend","Texas",29.52704478,-95.77219463,811688,2020-01-23,0,0,0,Inf,0,Inf
84048159,48159,"Franklin","Texas",33.17653242,-95.21917243,10725,2020-01-23,0,0,0,Inf,0,Inf
84048161,48161,"Freestone","Texas",31.70422788,-96.15072516,19717,2020-01-23,0,0,0,Inf,0,Inf
84048163,48163,"Frio","Texas",28.86751206,-99.10804207,20306,2020-01-23,0,0,0,Inf,0,Inf
84048165,48165,"Gaines","Texas",32.74055318,-102.6353295,21492,2020-01-23,0,0,0,Inf,0,Inf
84048167,48167,"Galveston","Texas",29.40167322,-94.90469073,342139,2020-01-23,0,0,0,Inf,0,Inf
84048169,48169,"Garza","Texas",33.17969345,-101.2984114,6229,2020-01-23,0,0,0,Inf,0,Inf
84048171,48171,"Gillespie","Texas",30.31824095,-98.94676915,26988,2020-01-23,0,0,0,Inf,0,Inf
84048173,48173,"Glasscock","Texas",31.86942909,-101.5207776,1409,2020-01-23,0,0,0,Inf,0,Inf
84048175,48175,"Goliad","Texas",28.65696592,-97.42760647,7658,2020-01-23,0,0,0,Inf,0,Inf
84048177,48177,"Gonzales","Texas",29.45634206,-97.49424032,20837,2020-01-23,0,0,0,Inf,0,Inf
84048179,48179,"Gray","Texas",35.40081878,-100.8129222,21886,2020-01-23,0,0,0,Inf,0,Inf
84048181,48181,"Grayson","Texas",33.62744998,-96.67753461,136212,2020-01-23,0,0,0,Inf,0,Inf
84048183,48183,"Gregg","Texas",32.47940482,-94.81591935,123945,2020-01-23,0,0,0,Inf,0,Inf
84048185,48185,"Grimes","Texas",30.54579585,-95.98902499,28880,2020-01-23,0,0,0,Inf,0,Inf
84048187,48187,"Guadalupe","Texas",29.58165339,-97.94786822,166847,2020-01-23,0,0,0,Inf,0,Inf
84048189,48189,"Hale","Texas",34.07044901,-101.8268114,33406,2020-01-23,0,0,0,Inf,0,Inf
84048191,48191,"Hall","Texas",34.5307555,-100.6813852,2964,2020-01-23,0,0,0,Inf,0,Inf
84048193,48193,"Hamilton","Texas",31.70470573,-98.11083887,8461,2020-01-23,0,0,0,Inf,0,Inf
84048195,48195,"Hansford","Texas",36.27743284,-101.3545796,5399,2020-01-23,0,0,0,Inf,0,Inf
84048197,48197,"Hardeman","Texas",34.28944521,-99.74632408,3933,2020-01-23,0,0,0,Inf,0,Inf
84048199,48199,"Hardin","Texas",30.33364686,-94.38931817,57602,2020-01-23,0,0,0,Inf,0,Inf
84048201,48201,"Harris","Texas",29.85864939,-95.39339521,4713325,2020-01-23,0,0,0,Inf,0,Inf
84048203,48203,"Harrison","Texas",32.54935988,-94.36934071,66553,2020-01-23,0,0,0,Inf,0,Inf
84048205,48205,"Hartley","Texas",35.84008013,-102.6029022,5576,2020-01-23,0,0,0,Inf,0,Inf
84048207,48207,"Haskell","Texas",33.17823584,-99.73037358,5658,2020-01-23,0,0,0,Inf,0,Inf
84048209,48209,"Hays","Texas",30.05669873,-98.02944344,230191,2020-01-23,0,0,0,Inf,0,Inf
84048211,48211,"Hemphill","Texas",35.83764858,-100.2703577,3819,2020-01-23,0,0,0,Inf,0,Inf
84048213,48213,"Henderson","Texas",32.21128872,-95.85846587,82737,2020-01-23,0,0,0,Inf,0,Inf
84048215,48215,"Hidalgo","Texas",26.39418217,-98.18299696,868707,2020-01-23,0,0,0,Inf,0,Inf
84048217,48217,"Hill","Texas",31.99045053,-97.13423143,36649,2020-01-23,0,0,0,Inf,0,Inf
84048219,48219,"Hockley","Texas",33.60771256,-102.3431676,23021,2020-01-23,0,0,0,Inf,0,Inf
84048221,48221,"Hood","Texas",32.42990927,-97.83242024,61643,2020-01-23,0,0,0,Inf,0,Inf
84048223,48223,"Hopkins","Texas",33.14875072,-95.56351139,37084,2020-01-23,0,0,0,Inf,0,Inf
84048225,48225,"Houston","Texas",31.31925973,-95.42226208,22968,2020-01-23,0,0,0,Inf,0,Inf
84048227,48227,"Howard","Texas",32.30621324,-101.4356444,36664,2020-01-23,0,0,0,Inf,0,Inf
84048229,48229,"Hudspeth","Texas",31.45628381,-105.388178,4886,2020-01-23,0,0,0,Inf,0,Inf
84048231,48231,"Hunt","Texas",33.12351514,-96.08551032,98594,2020-01-23,0,0,0,Inf,0,Inf
84048233,48233,"Hutchinson","Texas",35.84006574,-101.3546643,20938,2020-01-23,0,0,0,Inf,0,Inf
84048235,48235,"Irion","Texas",31.30375559,-100.982439,1536,2020-01-23,0,0,0,Inf,0,Inf
84048237,48237,"Jack","Texas",33.23377248,-98.17283469,8935,2020-01-23,0,0,0,Inf,0,Inf
84048239,48239,"Jackson","Texas",28.95472367,-96.57749563,14760,2020-01-23,0,0,0,Inf,0,Inf
84048241,48241,"Jasper","Texas",30.74685667,-94.02667579,35529,2020-01-23,0,0,0,Inf,0,Inf
84048243,48243,"Jeff Davis","Texas",30.71490589,-104.1399973,2274,2020-01-23,0,0,0,Inf,0,Inf
84048245,48245,"Jefferson","Texas",29.8832777,-94.16434171,251565,2020-01-23,0,0,0,Inf,0,Inf
84048247,48247,"Jim Hogg","Texas",27.04453923,-98.6968187,5200,2020-01-23,0,0,0,Inf,0,Inf
84048249,48249,"Jim Wells","Texas",27.73103938,-98.0904705,40482,2020-01-23,0,0,0,Inf,0,Inf
84048251,48251,"Johnson","Texas",32.37877812,-97.36615819,175817,2020-01-23,0,0,0,Inf,0,Inf
84048253,48253,"Jones","Texas",32.73997145,-99.87861576,20083,2020-01-23,0,0,0,Inf,0,Inf
84048255,48255,"Karnes","Texas",28.90705334,-97.85960149,15601,2020-01-23,0,0,0,Inf,0,Inf
84048257,48257,"Kaufman","Texas",32.5991417,-96.28734728,136154,2020-01-23,0,0,0,Inf,0,Inf
84048259,48259,"Kendall","Texas",29.94414155,-98.7113588,47431,2020-01-23,0,0,0,Inf,0,Inf
84048261,48261,"Kenedy","Texas",26.92601662,-97.66413984,404,2020-01-23,0,0,0,Inf,0,Inf
84048263,48263,"Kent","Texas",33.18104136,-100.7780939,762,2020-01-23,0,0,0,Inf,0,Inf
84048265,48265,"Kerr","Texas",30.06040006,-99.34930144,52600,2020-01-23,0,0,0,Inf,0,Inf
84048267,48267,"Kimble","Texas",30.48678918,-99.74856473,4337,2020-01-23,0,0,0,Inf,0,Inf
84048269,48269,"King","Texas",33.61643847,-100.2558057,272,2020-01-23,0,0,0,Inf,0,Inf
84048271,48271,"Kinney","Texas",29.34967888,-100.4186638,3667,2020-01-23,0,0,0,Inf,0,Inf
84048273,48273,"Kleberg","Texas",27.42435506,-97.69894948,30680,2020-01-23,0,0,0,Inf,0,Inf
84048275,48275,"Knox","Texas",33.60519951,-99.7422906,3664,2020-01-23,0,0,0,Inf,0,Inf
84048277,48277,"Lamar","Texas",33.66981763,-95.57404777,49859,2020-01-23,0,0,0,Inf,0,Inf
84048279,48279,"Lamb","Texas",34.06859623,-102.3516289,12893,2020-01-23,0,0,0,Inf,0,Inf
84048281,48281,"Lampasas","Texas",31.19531316,-98.24206613,21428,2020-01-23,0,0,0,Inf,0,Inf
84048283,48283,"La Salle","Texas",28.34453111,-99.09908775,7520,2020-01-23,0,0,0,Inf,0,Inf
84048285,48285,"Lavaca","Texas",29.38508402,-96.93186692,20154,2020-01-23,0,0,0,Inf,0,Inf
84048287,48287,"Lee","Texas",30.31120597,-96.97045773,17239,2020-01-23,0,0,0,Inf,0,Inf
84048289,48289,"Leon","Texas",31.29872538,-95.9936328,17404,2020-01-23,0,0,0,Inf,0,Inf
84048291,48291,"Liberty","Texas",30.15152688,-94.81205615,88219,2020-01-23,0,0,0,Inf,0,Inf
84048293,48293,"Limestone","Texas",31.5454767,-96.58095444,23437,2020-01-23,0,0,0,Inf,0,Inf
84048295,48295,"Lipscomb","Texas",36.27783108,-100.2733151,3233,2020-01-23,0,0,0,Inf,0,Inf
84048297,48297,"Live Oak","Texas",28.35101362,-98.1246786,12207,2020-01-23,0,0,0,Inf,0,Inf
84048299,48299,"Llano","Texas",30.70645047,-98.68475262,21795,2020-01-23,0,0,0,Inf,0,Inf
84048301,48301,"Loving","Texas",31.84947612,-103.5818571,169,2020-01-23,0,0,0,Inf,0,Inf
84048303,48303,"Lubbock","Texas",33.61008596,-101.8204789,310569,2020-01-23,0,0,0,Inf,0,Inf
84048305,48305,"Lynn","Texas",33.17657705,-101.8162849,5951,2020-01-23,0,0,0,Inf,0,Inf
84048307,48307,"McCulloch","Texas",31.1925468,-99.34682807,7984,2020-01-23,0,0,0,Inf,0,Inf
84048309,48309,"McLennan","Texas",31.55255453,-97.20217694,256623,2020-01-23,0,0,0,Inf,0,Inf
84048311,48311,"McMullen","Texas",28.35251708,-98.56769164,743,2020-01-23,0,0,0,Inf,0,Inf
84048313,48313,"Madison","Texas",30.96694679,-95.93003775,14284,2020-01-23,0,0,0,Inf,0,Inf
84048315,48315,"Marion","Texas",32.79868409,-94.3566123,9854,2020-01-23,0,0,0,Inf,0,Inf
84048317,48317,"Martin","Texas",32.30600051,-101.9513518,5771,2020-01-23,0,0,0,Inf,0,Inf
84048319,48319,"Mason","Texas",30.71780434,-99.22629416,4274,2020-01-23,0,0,0,Inf,0,Inf
84048321,48321,"Matagorda","Texas",28.81955746,-96.01230294,36643,2020-01-23,0,0,0,Inf,0,Inf
84048323,48323,"Maverick","Texas",28.7429195,-100.3157686,58722,2020-01-23,0,0,0,Inf,0,Inf
84048325,48325,"Medina","Texas",29.3557301,-99.11030298,51584,2020-01-23,0,0,0,Inf,0,Inf
84048327,48327,"Menard","Texas",30.88990665,-99.8204794,2138,2020-01-23,0,0,0,Inf,0,Inf
84048329,48329,"Midland","Texas",31.86904128,-102.0315682,176832,2020-01-23,0,0,0,Inf,0,Inf
84048331,48331,"Milam","Texas",30.7858183,-96.97718698,24823,2020-01-23,0,0,0,Inf,0,Inf
84048333,48333,"Mills","Texas",31.49557106,-98.59272068,4873,2020-01-23,0,0,0,Inf,0,Inf
84048335,48335,"Mitchell","Texas",32.30623474,-100.9212058,8545,2020-01-23,0,0,0,Inf,0,Inf
84048337,48337,"Montague","Texas",33.67521893,-97.72500958,19818,2020-01-23,0,0,0,Inf,0,Inf
84048339,48339,"Montgomery","Texas",30.30079133,-95.50572772,607391,2020-01-23,0,0,0,Inf,0,Inf
84048341,48341,"Moore","Texas",35.83769242,-101.8930281,20940,2020-01-23,0,0,0,Inf,0,Inf
84048343,48343,"Morris","Texas",33.11304005,-94.73255695,12388,2020-01-23,0,0,0,Inf,0,Inf
84048345,48345,"Motley","Texas",34.07408766,-100.779722,1200,2020-01-23,0,0,0,Inf,0,Inf
84048347,48347,"Nacogdoches","Texas",31.62017125,-94.61803994,65204,2020-01-23,0,0,0,Inf,0,Inf
84048349,48349,"Navarro","Texas",32.04620681,-96.47428766,50113,2020-01-23,0,0,0,Inf,0,Inf
84048351,48351,"Newton","Texas",30.78548982,-93.74408813,13595,2020-01-23,0,0,0,Inf,0,Inf
84048353,48353,"Nolan","Texas",32.30365282,-100.4060208,14714,2020-01-23,0,0,0,Inf,0,Inf
84048355,48355,"Nueces","Texas",27.736286,-97.5433285,362294,2020-01-23,0,0,0,Inf,0,Inf
84048357,48357,"Ochiltree","Texas",36.27829105,-100.8158184,9836,2020-01-23,0,0,0,Inf,0,Inf
84048359,48359,"Oldham","Texas",35.40425596,-102.6027606,2112,2020-01-23,0,0,0,Inf,0,Inf
84048361,48361,"Orange","Texas",30.11879481,-93.89412775,83396,2020-01-23,0,0,0,Inf,0,Inf
84048363,48363,"Palo Pinto","Texas",32.75310985,-98.31319001,29189,2020-01-23,0,0,0,Inf,0,Inf
84048365,48365,"Panola","Texas",32.1639596,-94.30552481,23194,2020-01-23,0,0,0,Inf,0,Inf
84048367,48367,"Parker","Texas",32.77757172,-97.80500621,142878,2020-01-23,0,0,0,Inf,0,Inf
84048369,48369,"Parmer","Texas",34.52993409,-102.7844668,9605,2020-01-23,0,0,0,Inf,0,Inf
84048371,48371,"Pecos","Texas",30.78097267,-102.7241261,15823,2020-01-23,0,0,0,Inf,0,Inf
84048373,48373,"Polk","Texas",30.79472531,-94.8276624,51353,2020-01-23,0,0,0,Inf,0,Inf
84048375,48375,"Potter","Texas",35.40133773,-101.893964,117415,2020-01-23,0,0,0,Inf,0,Inf
84048377,48377,"Presidio","Texas",29.99954402,-104.2408079,6704,2020-01-23,0,0,0,Inf,0,Inf
84048379,48379,"Rains","Texas",32.87109387,-95.79232691,12514,2020-01-23,0,0,0,Inf,0,Inf
84048381,48381,"Randall","Texas",34.96585996,-101.8971322,137713,2020-01-23,0,0,0,Inf,0,Inf
84048383,48383,"Reagan","Texas",31.36607041,-101.5232659,3849,2020-01-23,0,0,0,Inf,0,Inf
84048385,48385,"Real","Texas",29.83321503,-99.82018052,3452,2020-01-23,0,0,0,Inf,0,Inf
84048387,48387,"Red River","Texas",33.61886692,-95.04841765,12023,2020-01-23,0,0,0,Inf,0,Inf
84048389,48389,"Reeves","Texas",31.32323325,-103.6903896,15976,2020-01-23,0,0,0,Inf,0,Inf
84048391,48391,"Refugio","Texas",28.3238976,-97.15766311,6948,2020-01-23,0,0,0,Inf,0,Inf
84048393,48393,"Roberts","Texas",35.83809685,-100.813175,854,2020-01-23,0,0,0,Inf,0,Inf
84048395,48395,"Robertson","Texas",31.02539637,-96.51272246,17074,2020-01-23,0,0,0,Inf,0,Inf
84048397,48397,"Rockwall","Texas",32.89779518,-96.40771592,104915,2020-01-23,0,0,0,Inf,0,Inf
84048399,48399,"Runnels","Texas",31.8314342,-99.97616148,10264,2020-01-23,0,0,0,Inf,0,Inf
84048401,48401,"Rusk","Texas",32.10773545,-94.76176432,54406,2020-01-23,0,0,0,Inf,0,Inf
84048403,48403,"Sabine","Texas",31.34318809,-93.85440451,10542,2020-01-23,0,0,0,Inf,0,Inf
84048405,48405,"San Augustine","Texas",31.39457611,-94.17000399,8237,2020-01-23,0,0,0,Inf,0,Inf
84048407,48407,"San Jacinto","Texas",30.57933681,-95.16260304,28859,2020-01-23,0,0,0,Inf,0,Inf
84048409,48409,"San Patricio","Texas",28.00880118,-97.51763891,66730,2020-01-23,0,0,0,Inf,0,Inf
84048411,48411,"San Saba","Texas",31.1577796,-98.81758731,6055,2020-01-23,0,0,0,Inf,0,Inf
84048413,48413,"Schleicher","Texas",30.89740592,-100.5384842,2793,2020-01-23,0,0,0,Inf,0,Inf
84048415,48415,"Scurry","Texas",32.74613808,-100.9162664,16703,2020-01-23,0,0,0,Inf,0,Inf
84048417,48417,"Shackelford","Texas",32.73587756,-99.35401337,3265,2020-01-23,0,0,0,Inf,0,Inf
84048419,48419,"Shelby","Texas",31.79211404,-94.14550696,25274,2020-01-23,0,0,0,Inf,0,Inf
84048421,48421,"Sherman","Texas",36.27751473,-101.8933156,3022,2020-01-23,0,0,0,Inf,0,Inf
84048423,48423,"Smith","Texas",32.37474036,-95.2717568,232751,2020-01-23,0,0,0,Inf,0,Inf
84048425,48425,"Somervell","Texas",32.22236802,-97.77403489,9128,2020-01-23,0,0,0,Inf,0,Inf
84048427,48427,"Starr","Texas",26.56150059,-98.73892358,64633,2020-01-23,0,0,0,Inf,0,Inf
84048429,48429,"Stephens","Texas",32.73553157,-98.83631615,9366,2020-01-23,0,0,0,Inf,0,Inf
84048431,48431,"Sterling","Texas",31.82781912,-101.0500746,1291,2020-01-23,0,0,0,Inf,0,Inf
84048433,48433,"Stonewall","Texas",33.17906744,-100.2538401,1350,2020-01-23,0,0,0,Inf,0,Inf
84048435,48435,"Sutton","Texas",30.49856623,-100.5382014,3776,2020-01-23,0,0,0,Inf,0,Inf
84048437,48437,"Swisher","Texas",34.53028891,-101.7349174,7397,2020-01-23,0,0,0,Inf,0,Inf
84048439,48439,"Tarrant","Texas",32.77143818,-97.29101614,2102515,2020-01-23,0,0,0,Inf,0,Inf
84048441,48441,"Taylor","Texas",32.30163422,-99.89007449,138034,2020-01-23,0,0,0,Inf,0,Inf
84048443,48443,"Terrell","Texas",30.22429013,-102.0766732,776,2020-01-23,0,0,0,Inf,0,Inf
84048445,48445,"Terry","Texas",33.17402785,-102.3354521,12337,2020-01-23,0,0,0,Inf,0,Inf
84048447,48447,"Throckmorton","Texas",33.17751417,-99.21226795,1501,2020-01-23,0,0,0,Inf,0,Inf
84048449,48449,"Titus","Texas",33.21339719,-94.96797273,32750,2020-01-23,0,0,0,Inf,0,Inf
84048451,48451,"Tom Green","Texas",31.40464436,-100.462443,119200,2020-01-23,0,0,0,Inf,0,Inf
84048453,48453,"Travis","Texas",30.33432034,-97.7853562,1273954,2020-01-23,0,0,0,Inf,0,Inf
84048455,48455,"Trinity","Texas",31.0879489,-95.1367187,14651,2020-01-23,0,0,0,Inf,0,Inf
84048457,48457,"Tyler","Texas",30.77031716,-94.37690895,21672,2020-01-23,0,0,0,Inf,0,Inf
84048459,48459,"Upshur","Texas",32.73706798,-94.93999853,41753,2020-01-23,0,0,0,Inf,0,Inf
84048461,48461,"Upton","Texas",31.36868194,-102.0423217,3657,2020-01-23,0,0,0,Inf,0,Inf
84048463,48463,"Uvalde","Texas",29.35739637,-99.76229172,26741,2020-01-23,0,0,0,Inf,0,Inf
84048465,48465,"Val Verde","Texas",29.89149232,-101.1525205,49025,2020-01-23,0,0,0,Inf,0,Inf
84048467,48467,"Van Zandt","Texas",32.56483801,-95.83766469,56590,2020-01-23,0,0,0,Inf,0,Inf
84048469,48469,"Victoria","Texas",28.79780988,-96.96813006,92084,2020-01-23,0,0,0,Inf,0,Inf
84048471,48471,"Walker","Texas",30.73872995,-95.57440968,72971,2020-01-23,0,0,0,Inf,0,Inf
84048473,48473,"Waller","Texas",30.01058447,-95.99011759,55246,2020-01-23,0,0,0,Inf,0,Inf
84048475,48475,"Ward","Texas",31.50999644,-103.0927909,11998,2020-01-23,0,0,0,Inf,0,Inf
84048477,48477,"Washington","Texas",30.21498498,-96.40946246,35882,2020-01-23,0,0,0,Inf,0,Inf
84048479,48479,"Webb","Texas",27.7610369,-99.33237355,276652,2020-01-23,0,0,0,Inf,0,Inf
